"KEGG_Pathway","ha","hm","hs"
"-",2690,2163,1366
"ko00010",48,30,31
"ko00020",26,22,22
"ko00030",21,19,15
"ko00040",11,5,3
"ko00051",15,10,7
"ko00052",16,13,5
"ko00053",11,5,5
"ko00061",8,8,5
"ko00071",30,14,14
"ko00072",10,4,4
"ko00100",1,2,1
"ko00130",8,8,7
"ko00140",2,1,0
"ko00190",50,42,36
"ko00195",2,1,1
"ko00220",24,18,12
"ko00230",61,53,57
"ko00240",47,43,47
"ko00250",32,29,24
"ko00260",36,32,29
"ko00261",5,5,3
"ko00270",27,24,23
"ko00280",34,20,18
"ko00281",5,2,3
"ko00290",16,15,3
"ko00300",15,15,4
"ko00310",14,8,7
"ko00311",1,1,0
"ko00330",26,18,12
"ko00333",5,5,2
"ko00340",20,12,16
"ko00350",14,10,8
"ko00360",19,11,8
"ko00361",2,0,0
"ko00362",12,6,5
"ko00380",17,6,9
"ko00400",27,25,24
"ko00401",6,5,5
"ko00405",7,4,4
"ko00410",15,9,7
"ko00430",3,3,2
"ko00440",2,2,1
"ko00450",10,7,6
"ko00460",4,5,2
"ko00471",4,3,3
"ko00480",3,5,2
"ko00500",13,10,3
"ko00510",3,3,2
"ko00511",1,6,0
"ko00513",2,2,1
"ko00520",26,23,13
"ko00521",10,11,7
"ko00523",8,7,4
"ko00524",1,2,1
"ko00525",7,4,4
"ko00531",1,1,0
"ko00550",1,1,1
"ko00561",7,4,5
"ko00562",2,5,2
"ko00564",11,13,14
"ko00592",5,2,3
"ko00600",2,2,0
"ko00620",49,31,32
"ko00622",1,0,0
"ko00625",13,3,5
"ko00626",7,2,3
"ko00627",4,2,1
"ko00630",51,39,28
"ko00633",2,2,2
"ko00640",39,25,23
"ko00642",5,2,3
"ko00643",3,0,1
"ko00650",31,24,15
"ko00660",16,15,5
"ko00670",16,11,8
"ko00680",40,28,23
"ko00710",11,12,9
"ko00720",42,29,27
"ko00730",9,9,7
"ko00740",8,8,8
"ko00750",6,7,5
"ko00760",17,14,13
"ko00770",18,15,9
"ko00780",10,9,3
"ko00785",2,2,2
"ko00790",22,23,19
"ko00791",3,0,0
"ko00830",8,2,3
"ko00860",31,30,30
"ko00900",19,14,14
"ko00903",5,1,2
"ko00906",3,3,4
"ko00909",1,2,1
"ko00910",19,10,6
"ko00920",11,12,9
"ko00940",3,2,1
"ko00950",3,2,2
"ko00960",5,4,4
"ko00966",1,1,0
"ko00970",28,26,26
"ko00980",7,2,3
"ko00981",5,1,2
"ko00982",7,2,3
"ko00983",12,11,13
"ko01040",5,5,2
"ko01053",1,1,1
"ko01054",1,0,0
"ko01055",1,0,0
"ko01062",1,1,2
"ko01100",533,460,388
"ko01110",241,209,181
"ko01120",203,153,114
"ko01130",204,174,141
"ko01200",129,96,79
"ko01210",30,29,11
"ko01212",21,14,10
"ko01220",11,5,4
"ko01230",108,106,72
"ko01501",1,1,0
"ko01503",1,1,1
"ko01521",1,1,1
"ko01523",4,5,1
"ko01524",1,1,1
"ko02010",117,62,52
"ko02020",41,34,35
"ko02024",80,52,28
"ko02025",6,4,4
"ko02030",24,24,23
"ko02060",4,0,0
"ko03008",12,12,12
"ko03010",59,58,57
"ko03013",19,18,17
"ko03015",2,2,2
"ko03018",5,6,4
"ko03020",13,13,13
"ko03022",14,11,13
"ko03030",23,22,20
"ko03050",6,5,4
"ko03060",13,13,11
"ko03070",8,8,8
"ko03320",8,5,5
"ko03410",16,12,11
"ko03420",14,14,14
"ko03430",15,13,11
"ko03440",3,3,3
"ko03450",1,1,1
"ko03460",4,4,4
"ko04013",1,2,2
"ko04016",2,2,2
"ko04066",8,5,5
"ko04068",1,2,2
"ko04070",1,2,1
"ko04110",2,1,1
"ko04112",2,2,2
"ko04122",15,11,10
"ko04138",1,1,1
"ko04140",1,1,1
"ko04141",11,9,10
"ko04142",2,2,0
"ko04145",1,1,1
"ko04146",5,5,6
"ko04150",1,1,1
"ko04151",1,1,1
"ko04152",4,3,3
"ko04210",1,1,1
"ko04211",1,2,2
"ko04212",2,4,3
"ko04213",1,2,2
"ko04216",1,1,2
"ko04217",7,6,5
"ko04371",1,1,1
"ko04530",2,1,1
"ko04621",3,3,1
"ko04626",1,1,1
"ko04714",4,4,5
"ko04724",2,2,1
"ko04727",2,2,1
"ko04910",3,2,2
"ko04920",1,1,2
"ko04921",1,1,1
"ko04922",6,3,4
"ko04930",1,1,1
"ko04931",2,2,1
"ko04932",1,1,1
"ko04934",1,1,1
"ko04964",4,3,3
"ko04973",1,0,0
"ko04976",1,1,1
"ko04978",1,1,1
"ko05010",1,1,0
"ko05016",2,3,3
"ko05110",1,1,1
"ko05111",5,4,2
"ko05120",1,0,0
"ko05134",7,7,7
"ko05146",2,1,0
"ko05152",3,4,3
"ko05160",1,1,1
"ko05161",2,1,1
"ko05162",1,1,1
"ko05164",1,1,1
"ko05165",2,2,2
"ko05166",3,3,2
"ko05168",2,2,2
"ko05169",11,7,8
"ko05200",1,1,1
"ko05203",12,8,9
"ko05205",1,1,1
"ko05206",3,0,1
"ko05211",1,1,1
"ko05230",6,3,4
"ko05418",4,4,2
"map00010",48,30,31
"map00020",26,22,22
"map00030",21,19,15
"map00040",11,5,3
"map00051",15,10,7
"map00052",16,13,5
"map00053",11,5,5
"map00061",8,8,5
"map00071",30,14,14
"map00072",10,4,4
"map00100",1,2,1
"map00130",8,8,7
"map00140",2,1,0
"map00190",50,42,36
"map00195",2,1,1
"map00220",24,18,12
"map00230",61,53,57
"map00240",47,43,47
"map00250",32,29,24
"map00260",36,32,29
"map00261",5,5,3
"map00270",27,24,23
"map00280",34,20,18
"map00281",5,2,3
"map00290",16,15,3
"map00300",15,15,4
"map00310",14,8,7
"map00311",1,1,0
"map00330",26,18,12
"map00333",5,5,2
"map00340",20,12,16
"map00350",14,10,8
"map00360",19,11,8
"map00361",2,0,0
"map00362",12,6,5
"map00380",17,6,9
"map00400",27,25,24
"map00401",6,5,5
"map00405",7,4,4
"map00410",15,9,7
"map00430",3,3,2
"map00440",2,2,1
"map00450",10,7,6
"map00460",4,5,2
"map00471",4,3,3
"map00480",3,5,2
"map00500",13,10,3
"map00510",3,3,2
"map00511",1,6,0
"map00513",2,2,1
"map00520",26,23,13
"map00521",10,11,7
"map00523",8,7,4
"map00524",1,2,1
"map00525",7,4,4
"map00531",1,1,0
"map00550",1,1,1
"map00561",7,4,5
"map00562",2,5,2
"map00564",11,13,14
"map00592",5,2,3
"map00600",2,2,0
"map00620",49,31,32
"map00622",1,0,0
"map00625",13,3,5
"map00626",7,2,3
"map00627",4,2,1
"map00630",51,39,28
"map00633",2,2,2
"map00640",39,25,23
"map00642",5,2,3
"map00643",3,0,1
"map00650",31,24,15
"map00660",16,15,5
"map00670",16,11,8
"map00680",40,28,23
"map00710",11,12,9
"map00720",42,29,27
"map00730",9,9,7
"map00740",8,8,8
"map00750",6,7,5
"map00760",17,14,13
"map00770",18,15,9
"map00780",10,9,3
"map00785",2,2,2
"map00790",22,23,19
"map00791",3,0,0
"map00830",8,2,3
"map00860",31,30,30
"map00900",19,14,14
"map00903",5,1,2
"map00906",3,3,4
"map00909",1,2,1
"map00910",19,10,6
"map00920",11,12,9
"map00940",3,2,1
"map00950",3,2,2
"map00960",5,4,4
"map00966",1,1,0
"map00970",28,26,26
"map00980",7,2,3
"map00981",5,1,2
"map00982",7,2,3
"map00983",12,11,13
"map01040",5,5,2
"map01053",1,1,1
"map01054",1,0,0
"map01055",1,0,0
"map01062",1,1,2
"map01100",533,460,388
"map01110",241,209,181
"map01120",203,153,114
"map01130",204,174,141
"map01200",129,96,79
"map01210",30,29,11
"map01212",21,14,10
"map01220",11,5,4
"map01230",108,106,72
"map01501",1,1,0
"map01503",1,1,1
"map01521",1,1,1
"map01523",4,5,1
"map01524",1,1,1
"map02010",117,62,52
"map02020",41,34,35
"map02024",80,52,28
"map02025",6,4,4
"map02030",24,24,23
"map02060",4,0,0
"map03008",12,12,12
"map03010",59,58,57
"map03013",19,18,17
"map03015",2,2,2
"map03018",5,6,4
"map03020",13,13,13
"map03022",14,11,13
"map03030",23,22,20
"map03050",6,5,4
"map03060",13,13,11
"map03070",8,8,8
"map03320",8,5,5
"map03410",16,12,11
"map03420",14,14,14
"map03430",15,13,11
"map03440",3,3,3
"map03450",1,1,1
"map03460",4,4,4
"map04013",1,2,2
"map04016",2,2,2
"map04066",8,5,5
"map04068",1,2,2
"map04070",1,2,1
"map04110",2,1,1
"map04112",2,2,2
"map04122",15,11,10
"map04138",1,1,1
"map04140",1,1,1
"map04141",11,9,10
"map04142",2,2,0
"map04145",1,1,1
"map04146",5,5,6
"map04150",1,1,1
"map04151",1,1,1
"map04152",4,3,3
"map04210",1,1,1
"map04211",1,2,2
"map04212",2,4,3
"map04213",1,2,2
"map04216",1,1,2
"map04217",7,6,5
"map04371",1,1,1
"map04530",2,1,1
"map04621",3,3,1
"map04626",1,1,1
"map04714",4,4,5
"map04724",2,2,1
"map04727",2,2,1
"map04910",3,2,2
"map04920",1,1,2
"map04921",1,1,1
"map04922",6,3,4
"map04930",1,1,1
"map04931",2,2,1
"map04932",1,1,1
"map04934",1,1,1
"map04964",4,3,3
"map04973",1,0,0
"map04976",1,1,1
"map04978",1,1,1
"map05010",1,1,0
"map05016",2,3,3
"map05110",1,1,1
"map05111",5,4,2
"map05120",1,0,0
"map05134",7,7,7
"map05146",2,1,0
"map05152",3,4,3
"map05160",1,1,1
"map05161",2,1,1
"map05162",1,1,1
"map05164",1,1,1
"map05165",2,2,2
"map05166",3,3,2
"map05168",2,2,2
"map05169",11,7,8
"map05200",1,1,1
"map05203",12,8,9
"map05205",1,1,1
"map05206",3,0,1
"map05211",1,1,1
"map05230",6,3,4
"map05418",4,4,2
"ko00332",0,2,0
"ko00930",0,1,1
"ko04080",0,1,0
"ko04214",0,1,0
"ko04979",0,1,0
"map00332",0,2,0
"map00930",0,1,1
"map04080",0,1,0
"map04214",0,1,0
"map04979",0,1,0
