"strain_id","X.query","KEGG_ko","KEGG_Pathway","EC","Description"
"hs","WP_010902539.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","COG1012 NAD-dependent aldehyde dehydrogenases"
"hs","WP_010903877.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","Belongs to the aldehyde dehydrogenase family"
"hs","WP_010904127.1","ko:K00005","ko00561,ko00640,ko01100,map00561,map00640,map01100","1.1.1.6","COG0371 Glycerol dehydrogenase and related enzymes"
"hs","WP_205251038.1","ko:K00864","ko00561,ko01100,ko03320,ko04626,map00561,map01100,map03320,map04626","2.7.1.30","Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate"
"hs","WP_235218779.1","ko:K00001,ko:K00002","ko00010,ko00040,ko00071,ko00350,ko00561,ko00625,ko00626,ko00830,ko00930,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00040,map00071,map00350,map00561,map00625,map00626,map00830,map00930,map00980,map00982,map01100,map01110,map01120,map01130,map01220","1.1.1.1,1.1.1.2","aldo keto reductase"
"hm","WP_372478851.1","ko:K00864","ko00561,ko01100,ko03320,ko04626,map00561,map01100,map03320,map04626","2.7.1.30","Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate"
"hm","WP_372478958.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","COG1012 NAD-dependent aldehyde dehydrogenases"
"hm","WP_372479684.1","ko:K00001,ko:K00002","ko00010,ko00040,ko00071,ko00350,ko00561,ko00625,ko00626,ko00830,ko00930,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00040,map00071,map00350,map00561,map00625,map00626,map00830,map00930,map00980,map00982,map01100,map01110,map01120,map01130,map01220","1.1.1.1,1.1.1.2","aldo keto reductase"
"hm","WP_372480858.1","ko:K11529","ko00030,ko00260,ko00561,ko00630,ko00680,ko01100,ko01120,ko01130,ko01200,map00030,map00260,map00561,map00630,map00680,map01100,map01120,map01130,map01200","2.7.1.165","Hydroxypyruvate reductase"
"ha","WP_014039867.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","COG1012 NAD-dependent aldehyde dehydrogenases"
"ha","WP_064287933.1","ko:K00864","ko00561,ko01100,ko03320,ko04626,map00561,map01100,map03320,map04626","2.7.1.30","Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate"
"ha","WP_191450181.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","COG1012 NAD-dependent aldehyde dehydrogenases"
"ha","WP_420181984.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","Belongs to the aldehyde dehydrogenase family"
"ha","WP_420182953.1","ko:K11529","ko00030,ko00260,ko00561,ko00630,ko00680,ko01100,ko01120,ko01130,ko01200,map00030,map00260,map00561,map00630,map00680,map01100,map01120,map01130,map01200","2.7.1.165","Hydroxypyruvate reductase"
"ha","WP_420183005.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","COG1012 NAD-dependent aldehyde dehydrogenases"
"ha","WP_420183014.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","COG1012 NAD-dependent aldehyde dehydrogenases"
